entry_date,exit_date,entry_price,exit_price,shares,pnl
2022-10-12,2023-03-21,28.2,58.38,27542.06,831219.4
2023-04-12,2023-04-13,70.02,66.61,22963.52,-78305.51
2023-04-14,2023-04-17,70.0,68.4,21851.43,-34962.25
2023-04-18,2023-04-20,69.06,69.73,21642.6,14500.67
2023-11-03,2023-11-08,50.8,51.95,29707.45,34163.61
2023-11-13,2023-11-14,51.29,49.38,30089.73,-57471.37
2023-11-15,2023-11-30,49.99,46.86,29722.56,-93031.64
2023-12-08,2023-12-11,50.2,48.81,27745.0,-38565.53
2023-12-12,2023-12-14,50.0,51.59,27084.67,43064.63
2023-12-15,2023-12-18,53.35,51.53,26191.16,-47667.9
2023-12-20,2023-12-21,51.71,51.49,26099.99,-5741.93
2023-12-22,2024-01-17,52.4,51.36,25646.72,-26672.62
2024-01-19,2024-01-23,52.05,48.5,25306.74,-89838.9
2024-01-26,2024-01-29,50.11,50.0,24493.65,-2694.32
2024-01-31,2024-02-06,50.19,51.19,24400.93,24400.93
2024-02-07,2024-02-09,52.75,45.11,23679.31,-180909.89
2024-02-12,2024-02-14,48.22,47.34,22152.08,-19493.86
2024-02-15,2024-08-15,50.06,86.4,20948.45,761266.84
2024-08-16,2024-08-30,89.0,93.68,20336.48,95174.72
2025-04-28,2025-05-01,91.73,93.16,20768.79,29699.38
2025-06-02,2025-06-03,95.85,95.27,20185.92,-11707.87
2025-06-04,2025-09-03,95.9,157.67,20053.31,1238693.07
2025-09-15,2025-09-26,160.23,191.42,19732.92,615469.85
