entry_date,exit_date,entry_price,exit_price,shares,pnl
1997-06-26,2008-11-10,5.78,24.66,17307.17,326726.78
2009-01-22,2014-11-10,16.38,53.31,26059.03,962388.09
2015-01-22,2015-04-28,49.3,53.99,28174.34,131930.74
2015-07-09,2019-01-16,50.96,75.1,29847.33,720359.39
2019-03-28,2020-04-28,78.99,70.23,28377.4,-248529.17
2020-07-09,2020-11-13,74.84,83.87,26628.57,240492.62
2021-01-27,2025-09-26,88.97,203.63,25103.64,2878486.03
