entry_date,exit_date,entry_price,exit_price,shares,pnl
2001-09-14,2001-09-17,19.64,20.07,12254.28,5251.37
2001-09-18,2001-10-03,18.61,20.11,13218.63,19826.01
2001-10-04,2001-12-13,19.43,17.53,13680.3,-25892.42
2001-12-18,2001-12-19,18.29,18.49,13114.07,2622.52
2001-12-20,2002-01-04,18.21,18.75,13314.63,7132.02
2002-01-09,2002-01-10,19.21,19.84,12992.9,8166.23
2002-01-14,2002-01-16,19.42,19.78,13274.84,4835.39
2002-01-18,2002-02-05,19.57,20.94,13420.18,18403.06
2002-02-07,2002-02-08,20.89,21.78,13452.3,12009.76
2002-02-12,2002-03-28,20.21,21.34,14498.06,16360.44
2002-04-01,2002-04-02,20.92,21.82,14790.09,13309.8
2002-04-03,2002-04-26,20.96,21.86,15400.04,13858.59
2002-05-01,2002-05-02,22.18,22.89,15171.97,10727.79
2002-05-08,2002-05-13,22.85,24.0,15195.67,17364.85
2002-05-15,2002-05-22,23.36,25.21,15609.13,28874.24
2002-05-23,2002-05-24,24.57,25.28,16017.51,11325.54
2002-05-27,2002-05-29,25.07,25.46,16149.85,6344.07
2002-05-30,2002-09-04,24.64,18.08,16688.17,-109535.63
2002-09-05,2002-09-06,18.14,18.49,16629.05,5819.52
2002-09-09,2002-09-10,18.86,18.75,16307.79,-1747.25
2002-09-11,2002-09-13,18.5,19.75,16528.16,20658.25
2002-09-16,2002-09-17,19.68,19.46,16588.16,-3554.24
2002-09-18,2002-09-23,19.75,20.03,16348.19,4670.58
2002-09-24,2002-09-25,20.07,20.43,16319.1,5827.66
2002-09-26,2002-11-05,18.32,17.61,18195.95,-12995.89
2002-11-11,2002-12-17,18.07,18.57,17728.47,8863.35
2002-12-18,2003-01-24,17.37,18.28,18953.13,17326.99
2003-01-28,2003-04-01,17.83,16.43,19439.11,-27212.22
2003-04-02,2003-05-09,15.64,16.73,20415.5,22309.18
2003-05-14,2003-05-16,16.82,17.39,20311.47,11605.36
