entry_date,exit_date,entry_price,exit_price,shares,pnl
2002-11-04,2002-11-15,7.52,7.61,25346.47,2268.26
2002-11-21,2002-12-11,7.62,7.59,25302.38,-838.74
2002-12-13,2002-12-20,7.59,7.44,25302.38,-3774.05
2003-01-16,2003-01-28,7.54,7.52,24968.72,-579.45
2003-02-03,2003-02-05,7.55,7.52,24859.11,-659.16
2003-02-12,2003-02-14,7.44,7.41,25135.93,-666.65
2003-02-19,2003-03-28,7.46,7.28,24990.69,-4393.37
2003-04-17,2003-04-21,7.26,7.3,25083.16,1094.24
2003-04-22,2003-04-23,7.31,7.37,25037.11,1344.34
2003-04-24,2003-05-01,7.45,7.68,24755.16,5649.07
2003-05-02,2003-05-12,7.65,7.65,24842.04,0.07
2003-05-16,2003-06-04,7.97,8.21,23848.35,5602.07
2003-06-06,2003-06-09,8.27,8.26,23664.45,-317.57
2003-06-10,2003-06-24,8.23,8.32,23741.66,2230.77
2003-07-04,2003-07-15,8.3,8.52,23817.1,5333.68
2003-07-16,2003-07-17,8.42,8.31,24095.39,-2779.69
2003-07-29,2003-08-05,8.57,8.55,23360.6,-396.26
2003-08-06,2003-08-12,8.49,8.62,23528.68,2953.96
2003-08-13,2003-08-14,8.65,8.65,23427.19,0.1
2003-08-15,2003-08-22,8.54,8.43,23743.77,-2658.69
2003-09-11,2003-09-12,8.65,8.65,23119.92,0.11
2003-09-23,2003-10-23,8.49,8.92,23572.9,10264.43
2003-10-24,2003-11-17,9.02,9.29,23312.97,6157.24
2003-11-18,2003-12-02,9.46,9.54,22881.88,1726.61
2003-12-11,2003-12-19,9.44,9.57,23106.28,2932.48
2004-01-02,2004-01-29,9.6,9.56,23023.76,-1026.53
2004-01-30,2004-02-18,9.42,9.26,23376.05,-3608.16
2004-02-20,2004-03-11,9.23,9.92,23462.94,16256.61
2004-03-16,2004-03-19,9.98,10.08,23325.82,2480.19
2004-03-23,2004-03-24,10.05,10.05,23405.41,-0.1
2004-03-26,2004-05-25,9.99,9.53,23550.09,-10839.02
2004-05-31,2004-06-08,9.46,9.05,23722.63,-9780.67
2004-06-11,2004-08-10,9.01,9.46,23823.01,10728.32
2004-08-11,2004-08-17,9.51,9.71,23691.39,4730.77
2004-08-18,2004-09-17,9.57,9.78,24038.25,4968.34
2004-09-20,2004-09-21,9.81,9.88,23960.99,1678.88
2004-10-12,2004-10-13,9.87,9.95,23992.33,1953.4
2004-10-28,2004-10-29,9.67,9.65,24668.28,-698.84
2004-11-01,2004-11-25,9.78,10.22,24328.99,10765.72
2004-11-26,2005-04-21,10.26,10.7,24236.69,10481.44
2005-04-25,2025-09-26,10.66,74.43,24318.01,1550776.4
